打掃一下,其他（正）
抓起,害怕
先搶先贏,生氣
哭鬧聲,生氣
感謝狀,其他（正）
度日,害怕
休息,其他（正）
欣賞美景,其他（正）
薪資倒退,難過
發病,生氣
暴躁,難過
哭爸,生氣
被打,害怕
真的可以,其他（正）
深深的沈思,難過
沒看頭,其他（負）
煉獄,生氣
放線,其他（負）
現在要怎樣,生氣
笑點戳到,其他（正）
阻礙,其他（負）
永遠幸福,高興
難免會,難過
越演越烈,難過
自拍,其他（正）
沒收,其他（正）
完全免費,高興
下次一定會,其他（正）
眉角,其他（負）
批判,其他（負）
一怒,生氣
酒店上班,難過
更好吃,其他（正）
道謝,高興
濫用,難過
一臉尷尬,驚訝
已經完全沒有感覺,難過
獨特,其他（正）
冷漠,難過
自慰,其他（負）
相當憂心,生氣
打招呼,其他（正）
死狀淒慘,生氣
漫不經心,其他（負）
花一輩子,其他（負）
芭比娃娃,其他（正）
異常,其他（負）
收屍,害怕
領到年終獎金,其他（正）
發瘋,其他（負）
倒茶,其他（正）
不體諒,生氣
深愛,高興
適合我,其他（正）
最美,其他（正）
很享受,高興
什麼啦,生氣
完全不知情,驚訝
平白無故,難過
自憐,難過
遭受,其他（負）
視若無睹,其他（負）
獨自一個人,其他（負）
揣測,生氣
生前,難過
沒考上,難過
不太好,其他（負）
若無其事,其他（負）
不要這樣,難過
油脂,其他（負）
擋住,生氣
清清楚楚,生氣
不滿足,難過
趕來,害怕
不可以,其他（負）
不想承認,其他（負）
令人不勝唏噓,害怕
天氣不太好,難過
濃厚,其他（正）
T+T,難過
直擊,其他（負）
不過是,其他（負）
外勞,其他（負）
端莊,其他（正）
一愣,驚訝
剛硬不屈,其他（正）
無法戒毒,害怕
不方便,其他（負）
債留子孫,難過
令人垂延,其他（正）
蒼蠅,其他（負）
見多了,其他（負）
撲咬,生氣
愛的結晶,其他（正）
緊急送驗,生氣
出氣,難過
參加婚宴,其他（正）
無法停止,其他（負）
抽中頭獎,其他（正）
查弊,其他（負）
被刪,其他（負）
感情受挫,害怕
給我面子,其他（正）
落榜,難過
為了吃,其他（負）
打屁,高興
精密,其他（正）
陷阱,生氣
似笑非笑,其他（正）
沒有結婚,害怕
關你屁事,生氣
弄得,其他（負）
甘願淪為,害怕
跟死了一樣,其他（負）
真心覺得,其他（負）
嘻笑打鬧,高興
很突然,驚訝
硬要,生氣
少數要服從多數,其他（負）
靈堂,害怕
真好,其他（正）
認真對待,其他（正）
太強硬,其他（負）
什麼都說,生氣
幹,生氣
潦草,其他（負）
屢勸不聽,難過
空盪,其他（負）
又要開始,其他（負）
感謝你半年的陪伴,難過
假鈔,其他（負）
傻呼呼,生氣
通通不見,驚訝
發火,生氣
與時並進,其他（正）
同意,高興
敏感,其他（負）
閃開,其他（負）
著名,其他（正）
呼之欲出,其他（正）
吸家畜血,生氣
高危險群,生氣
無法回答,難過
無聊,其他（負）
逆向,生氣
沒拍到,其他（負）
被嗆,其他（負）
起身接待,其他（正）
沒接,其他（負）
燈滅了,害怕
收入與工作也不固定,其他（負）
拐彎抹角,其他（負）
飄來飄去,害怕
陰影下,其他（負）
一起陪我,其他（正）
盧了這麼久,其他（負）
出殯,其他（負）
死定了,害怕
開腸剖肚,害怕
做不了,其他（負）
一個擁抱,其他（正）
無能,難過
7強,其他（正）
劈腿,生氣
操心,害怕
淡掉,其他（負）
永遠都記得,其他（負）
擔憂,生氣
盼,高興
過剩,其他（負）
迫切,其他（負）
毒蟲,難過
尋獲,高興
太差,其他（負）
影響不了,其他（正）
高壓電,害怕
毛孔粗大,其他（負）
閃他兩個耳光,生氣
幹哩娘,生氣
問候,其他（正）
沈默,其他（負）
負債,難過
免疫力降低,生氣
被吞,生氣
這麼美,其他（正）
回到從前,難過
反而是,其他（負）
好發時期,生氣
理解,其他（正）
被吵,生氣
好轉,其他（正）
不是+滋味,生氣
反控,生氣
榮耀,高興
誰喜歡你誰倒楣,生氣
頭痛,生氣
悔過書,其他（負）
困住,其他（負）
皺成一團,其他（負）
深呼吸,其他（正）
激勵,其他（正）
首相,其他（正）
過動,其他（負）
人非常好,其他（正）
煎熬,難過
命中率最高,其他（正）
說改就改,生氣
焦急,生氣
外人面前,其他（負）
快閃,生氣
精神都來了,高興
捷豹,其他（正）
嘆了一口氣,難過
即使,其他（負）
比較忙,其他（負）
沒變壞,其他（正）
未減速,害怕
作勢,其他（負）
搞錯,生氣
放心不下,害怕
衝動,生氣
黃鼻涕,其他（負）
藏不住,害怕
反怪,難過
不幸病逝,害怕
我相信,其他（正）
說也怪了,驚訝
終於開始,其他（正）
搬家,其他（負）
行情看俏,其他（正）
近視比例,其他（負）
協調,高興
放空,其他（負）
理論,難過
非法,難過
幹得不錯嘛,其他（正）
忍受不了,生氣
涼爽單位,其他（正）
趣味,其他（正）
死黨,其他（正）
奇異,害怕
偷偷的去,其他（負）
鬼畫符,其他（負）
血流不止,生氣
多麼重要,高興
護眼,其他（正）
引人注目,其他（負）
能生存,其他（正）
新鮮,其他（正）
最要好,其他（正）
棘手,害怕
臨時說,其他（負）
已讀,生氣
實在太好,其他（正）
挺不賴,其他（正）
衝到,其他（負）
心臟病發,害怕
沒一下子,其他（負）
情緒較不穩定,生氣
一槍擊斃,害怕
邂逅,高興
最討厭,生氣
有身孕,其他（正）
滅頂,難過
前有瘋狗,其他（負）
我他媽,生氣
找了半天,生氣
溝通都沒有,其他（負）
慰靈,其他（正）
負債累累,害怕
放符,害怕
怎麼這麽難,其他（負）
紀錄保持人,其他（正）
沒有回來,難過
順便,其他（正）
大吵一架,生氣
自摸,其他（正）
封閉,其他（負）
明知,其他（負）
好好看,高興
丟棄,其他（負）
潛規則,其他（負）
特有的,其他（正）
符咒,害怕
有點累,難過
躲起來,其他（負）
賭,其他（負）
醫好,其他（正）
不能偷懶,其他（正）
刪好友,生氣
說也奇怪,驚訝
徹底改變,其他（正）
發現,驚訝
從善如流,其他（正）
幫我,高興
再給我說一次,生氣
捉弄,生氣
利,其他（正）
呻吟,其他（負）
又驚又喜,高興
推到樓下,其他（負）
該死,生氣
登上,高興
嚼檳榔,其他（負）
招搖,其他（負）
希望就不是奢望,難過
新高,其他（正）
動手腳,生氣
驅魔,害怕
情同意合,高興
救我媽媽,害怕
頗有道理,其他（正）
飽眼福,高興
旗開得勝,其他（正）
欠下這麼多錢,其他（負）
油價止跌回升,難過
都弄不好,生氣
乾旱,生氣
要早起,難過
急診,生氣
卻被,其他（負）
溫存,其他（正）
這是一定的呀,其他（正）
是怎樣,生氣
夠複雜,其他（負）
上膛,害怕
大力,其他（正）
看不出來,其他（負）
失火,生氣
匆匆的,其他（負）
送醫不治,害怕
穿插三字經,難過
才能做到,其他（正）
罵我,生氣
結果應會大不同,難過
毫無意願,其他（負）
雛型,其他（正）
